Module Resource Usage Distribution Estimates
Generated at: May 11, 2022 23:49:21

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	     688(0)	      32(0)	      25(0)	     902(0)	     0(0)	     4(0)	     0(0)	
+la0:edb_la_top_renamed_due_excessive_length_1              	   602(354)	     32(32)	     25(25)	   883(526)	     0(0)	     4(0)	     0(0)	
 +axi_crc_i:edb_adbg_crc32                                  	     32(32)	       0(0)	       0(0)	     55(55)	     0(0)	     0(0)	     0(0)	
 +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	       0(0)	     70(70)	     0(0)	     0(0)	     0(0)	
 +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       6(6)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
 +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     26(26)	     0(0)	     0(0)	     0(0)	
 +trigger_tu:trigger_unit(WIDTH=32'b011,PIPE=1)             	       1(1)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
 +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b0100001)             	    139(63)	       0(0)	       0(0)	    195(68)	     0(0)	     4(0)	     0(0)	
  +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b0100010)	     76(56)	       0(0)	       0(0)	   127(107)	     0(0)	     4(0)	     0(0)	
   +transcode_write_addr:fifo_address_trancode_unit         	     10(10)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
   +transcode_read_addr:fifo_address_trancode_unit          	     10(10)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
   +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b0100010,ADDR_WIDTH=10,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(4)	     0(0)	
+debug_hub_inst:debug_hub                                   	     86(86)	       0(0)	       0(0)	     19(19)	     0(0)	     0(0)	     0(0)	
